geoid,geoid20,year,denom_adult_pop,voted_count,registered_count,registration_pct,voter_turnout_pct,denom_registered,median_household_income
1400000US06037101110,6037101110,2024,3426.0,1745.0,2876.0,83.900002,60.700001,2876.0,84091.0
1400000US06037101122,6037101122,2024,3541.0,2077.0,2988.0,84.400002,69.5,2988.0,99583.0
1400000US06037101220,6037101220,2024,2791.0,1145.0,1882.0,67.400002,60.799999,1882.0,69676.0
1400000US06037101221,6037101221,2024,3142.0,817.0,1622.0,51.599998,50.400002,1622.0,53798.0
1400000US06037101222,6037101222,2024,2072.0,541.0,1072.0,51.700001,50.5,1072.0,45662.0
1400000US06037101300,6037101300,2024,3470.0,2192.0,3220.0,92.800003,68.099998,3220.0,125675.0
1400000US06037101400,6037101400,2024,2930.0,1806.0,2716.0,92.699997,66.5,2716.0,81154.0
1400000US06037102103,6037102103,2024,1547.0,1248.0,1942.0,100.0,64.300003,1942.0,72656.0
1400000US06037102104,6037102104,2024,3211.0,1925.0,2996.0,93.300003,64.300003,2996.0,107656.0
1400000US06037102105,6037102105,2024,1227.0,420.0,740.0,60.299999,56.799999,740.0,96167.0
1400000US06037102107,6037102107,2024,3073.0,1482.0,2282.0,74.300003,64.900002,2282.0,104500.0
1400000US06037103101,6037103101,2024,2279.0,1158.0,1772.0,77.800003,65.300003,1772.0,117857.0
1400000US06037103102,6037103102,2024,3743.0,2105.0,3406.0,91.0,61.799999,3406.0,71754.0
1400000US06037103201,6037103201,2024,3757.0,1648.0,2564.0,68.199997,64.300003,2564.0,91213.0
1400000US06037103202,6037103202,2024,1590.0,1001.0,1419.0,89.199997,70.5,1419.0,117338.0
1400000US06037103300,6037103300,2024,3035.0,1938.0,2680.0,88.300003,72.300003,2680.0,148036.0
1400000US06037103401,6037103401,2024,2045.0,1026.0,1523.0,74.5,67.400002,1523.0,100893.0
1400000US06037103402,6037103402,2024,3090.0,1306.0,2060.0,66.699997,63.400002,2060.0,106161.0
1400000US06037104103,6037104103,2024,3444.0,1562.0,2749.0,79.800003,56.799999,2749.0,109688.0
1400000US06037104105,6037104105,2024,4343.0,1593.0,3083.0,71.0,51.700001,3083.0,60519.0
1400000US06037104108,6037104108,2024,3856.0,1358.0,2603.0,67.5,52.200001,2603.0,73344.0
1400000US06037104124,6037104124,2024,3440.0,1645.0,2469.0,71.800003,66.599998,2469.0,90469.0
1400000US06037104201,6037104201,2024,3471.0,1118.0,2354.0,67.800003,47.5,2354.0,101509.0
1400000US06037104203,6037104203,2024,3805.0,1120.0,2255.0,59.299999,49.700001,2255.0,67872.0
1400000US06037104204,6037104204,2024,2885.0,866.0,1580.0,54.799999,54.799999,1580.0,66167.0
1400000US06037104310,6037104310,2024,3559.0,1351.0,2833.0,79.599998,47.700001,2833.0,106250.0
1400000US06037104321,6037104321,2024,2345.0,668.0,1478.0,63.0,45.200001,1478.0,65521.0
1400000US06037104322,6037104322,2024,1490.0,500.0,1078.0,72.300003,46.400002,1078.0,88125.0
1400000US06037104401,6037104401,2024,2205.0,753.0,1582.0,71.699997,47.599998,1582.0,75234.0
1400000US06037104403,6037104403,2024,1790.0,729.0,1512.0,84.5,48.200001,1512.0,98400.0
1400000US06037104404,6037104404,2024,2420.0,651.0,1316.0,54.400002,49.5,1316.0,88125.0
1400000US06037104500,6037104500,2024,2305.0,738.0,1542.0,66.900002,47.900002,1542.0,77888.0
1400000US06037104610,6037104610,2024,2302.0,623.0,1466.0,63.700001,42.5,1466.0,86220.0
1400000US06037104620,6037104620,2024,2383.0,809.0,1622.0,68.099998,49.900002,1622.0,88972.0
1400000US06037104701,6037104701,2024,2935.0,565.0,1438.0,49.0,39.299999,1438.0,53011.0
1400000US06037104703,6037104703,2024,1698.0,444.0,970.0,57.099998,45.799999,970.0,47981.0
1400000US06037104704,6037104704,2024,3353.0,1146.0,2047.0,61.0,56.0,2047.0,72784.0
1400000US06037104821,6037104821,2024,2664.0,752.0,1581.0,59.299999,47.599998,1581.0,81518.0
1400000US06037104822,6037104822,2024,1608.0,547.0,1073.0,66.699997,51.0,1073.0,48750.0
1400000US06037104823,6037104823,2024,2188.0,963.0,1803.0,82.400002,53.400002,1803.0,81500.0
1400000US06037104824,6037104824,2024,1951.0,459.0,979.0,50.200001,46.900002,979.0,112375.0
1400000US06037106010,6037106010,2024,2950.0,1367.0,2108.0,71.5,64.800003,2108.0,144375.0
1400000US06037106020,6037106020,2024,3871.0,2202.0,3650.0,94.300003,60.299999,3650.0,123250.0
1400000US06037106111,6037106111,2024,3735.0,2077.0,3180.0,85.099998,65.300003,3180.0,115357.0
1400000US06037106112,6037106112,2024,4030.0,2275.0,3659.0,90.800003,62.200001,3659.0,100758.0
1400000US06037106113,6037106113,2024,2926.0,1431.0,2340.0,80.0,61.200001,2340.0,126190.0
